Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
4750,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2012-03-02,Parts per billion,3.847826,6.4,0,6,Parts per million,0.032958,0.045,11,38,Parts per billion,0.825,1.3,2,,Parts per million,0.282609,0.4,10,
71276,37,67,22,1300 BLK. HATTIE AVENUE,North Carolina,Forsyth,Winston-Salem,2002-07-07,Parts per billion,8.125,25.0,21,24,Parts per million,0.055417,0.078,10,106,Parts per billion,0.8125,4.6,2,,Parts per million,0.413043,0.6,22,
51069,9,5,5,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,2013-04-25,Parts per billion,0.791667,3.0,1,3,Parts per million,0.051,0.055,12,47,Parts per billion,0.15,0.3,12,0.0,Parts per million,0.133333,0.2,0,2.0
92751,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2014-07-04,Parts per billion,3.913043,13.0,20,12,Parts per million,0.03625,0.046,9,43,Parts per billion,0.372727,2.0,21,3.0,Parts per million,0.155727,0.251,9,
82789,42,11,11,1059 Arnold Road,Pennsylvania,Berks,Not in a city,2010-04-07,Parts per billion,11.428571,24.0,22,23,Parts per million,0.032583,0.062,11,58,Parts per billion,6.75,9.0,9,13.0,Parts per million,0.0375,0.2,21,
75956,24,5,3001,600 Dorsey Avenue,Maryland,Baltimore,Essex,2013-11-20,Parts per billion,20.5125,33.4,7,31,Parts per million,0.012167,0.03,9,28,Parts per billion,0.925,1.7,11,,Parts per million,0.370833,0.7,6,
26227,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2014-11-18,Parts per billion,38.1,50.0,18,47,Parts per million,0.015143,0.029,9,27,Parts per billion,1.466667,1.6,2,,Parts per million,0.92381,1.3,23,15.0
65360,40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,2003-03-26,Parts per billion,7.666667,27.0,19,25,Parts per million,0.0355,0.056,10,47,Parts per billion,0.075,0.3,8,,Parts per million,0.033333,0.3,19,
36281,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2015-10-24,Parts per billion,5.173913,11.0,21,10,Parts per million,0.023625,0.04,11,37,Parts per billion,0.0,0.0,5,,Parts per million,0.425,0.5,10,6.0
7408,6,13,1003,"UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo",California,Contra Costa,San Pablo,2000-09-13,Parts per billion,32.695652,62.0,8,60,Parts per million,0.019833,0.032,22,27,Parts per billion,5.090909,17.0,8,24.0,Parts per million,0.734783,2.6,7,
